lastname,firstname,salutation,company,gender,Birthdate,Email,Mobile,Fax,Phone,Address,Zipcode,City,Country,countryCode
JAPAVAYRE,Pascal,M.,CALAT,male,05/09/92,testdata+33663162631@adobe.com,33063162631,33072305924,33072305915,"71, Rue Victor-Ségalen",67510,BATZENDORF,France,FR
LACARIERE,Georges,Mr,CUJOL,female,06/28/85,testdata+33658351691@adobe.com,33058351691,33077296291,33077296241,"83, Rue Péclet",52210,BRENNES,France,FR
BARTHOUMEYRIE,Patrick,,BUISSONNEL,male,12/17/69,testdata+33668549564@adobe.com,33068549564,33099523102,33099523123,"51, Allée des Brouillards",10220,BREVONNES,France,FR
CIRIES,Eugène,M.,SAINTINIES,female,03/29/59,testdata+33653418045@adobe.com,33053418045,33083923611,33083923660,"72, Rue Lécuyer",46800,VALPRIONDE,France,FR
CHAPBERT,Jérôme,Mr,JAVANNOVIE,male,03/25/47,testdata+33656834764@adobe.com,33056834764,33067649129,33067649186,"95, Cour du Levant",72700,ST GEORGES DU BOIS,France,FR
COURLOU,Frédéric,,SCHUMANN-LECLERCQ,female,09/06/84,testdata+33656719409@adobe.com,33056719409,33034030636,33034030629,"98, Place de la Porte-de-Vanves",63220,PESSAT VILLENEUVE,France,FR
CHAVIGNIE,Bruno,M.,LOTONIER,male,09/06/41,testdata+33690945818@adobe.com,33090945818,33039330912,33039330937,"21, Route de la Porte-Dauphine-à-la-Porte-des-Sablons",14800,VILLY LEZ FALAISE,France,FR
BERTHOUMERIE,Ludovic,Mr,COUVES,female,01/17/69,testdata+33653952196@adobe.com,33053952196,33041892175,33041892148,"84, Rue des Prêtres-Saint-Germain-l'Auxerrois",56910,ST NICOLAS DU TERTRE,France,FR
NOZIERE-PLANTIGNY,Olivier,,CUBISOLE,male,07/21/87,testdata+33679505573@adobe.com,33079505573,33040561845,33040561863,"32, Rue d'Argentine",88130,VAUDEVILLE,France,FR
BRETONECHE,Cédric,M.,DUTREVI,female,12/24/88,testdata+33625735954@adobe.com,33025735954,33056047707,33056047733,"19, Passage Molière",33240,PEUJARD,France,FR
LADIERE,Frédéric,Mr,LIADOUZE-ROCHE,male,01/12/65,testdata+33647138122@adobe.com,33047138122,33072262004,33072262033,"78, Rue Claude-Debussy",71700,GREVILLY,France,FR
CAPMEAU,Jean,,IZOULE,female,02/24/41,testdata+33688572227@adobe.com,33088572227,33037343184,33037343132,"23, Rue de la Réunion",84110,ST ROMAIN EN VIENNOIS,France,FR
GUYGOUX,Christophe,M.,MARLIOC,male,04/21/62,testdata+33654368180@adobe.com,33054368180,33023264769,33023264770,"51, Avenue Trudaine",39800,VILLERSERINE,France,FR
GOIFIER,Didier,Mr,RENIAC,female,12/10/40,testdata+33626991576@adobe.com,33026991576,33064658447,33064658437,"87, Villa Rimbaud",89420,MONTREAL,France,FR
FLEGE,Eugène,,LATOPIE,male,10/31/69,testdata+33619921003@adobe.com,33019921003,33007344550,33007344559,"53, Place de l'Opéra",19800,VITRAC SUR MONTANE,France,FR
MANCHAVAL,Vincent,M.,CHASSEGROS,female,05/03/70,testdata+33698247543@adobe.com,33098247543,33067844629,33067844666,"73, Allée Vivaldi",69100,WINTZENHEIM ,France,FR
